product_category,unit_price,unit_cost,historical_avg_sales,lead_time_days,quarter,actual_demand
Raw Materials,905.15,480.09,31.4,23,Q3,21
Apparel,587.01,315.57,20.9,24,Q4,17
Raw Materials,894.08,670.35,79.8,23,Q2,40
Electronics,517.54,326.07,39.4,18,Q2,38
Perishables,388.04,176.57,19.9,27,Q3,14
Automotive,903.49,415.88,55.5,20,Q2,50
Apparel,250.11,169.5,79.0,9,Q4,102
Automotive,426.89,293.54,34.4,6,Q3,22
Automotive,745.37,348.95,77.8,6,Q4,68
Raw Materials,81.16,52.95,93.5,18,Q3,79
Apparel,573.94,264.26,29.8,15,Q3,12
Perishables,220.95,118.56,96.0,5,Q1,67
Automotive,366.2,261.92,104.3,9,Q4,97
Apparel,703.94,393.32,64.6,5,Q1,40
Perishables,732.31,425.93,66.8,16,Q1,39
Raw Materials,138.18,102.33,64.9,9,Q1,54
Raw Materials,865.89,584.66,71.7,15,Q1,38
Automotive,608.16,402.18,106.5,23,Q4,90
Raw Materials,209.78,101.16,49.1,13,Q3,43
Electronics,287.64,159.84,100.9,27,Q1,81
Perishables,46.33,27.65,65.9,11,Q1,53
Perishables,334.11,198.59,57.4,11,Q2,58
Electronics,271.06,183.22,67.2,9,Q1,49
Electronics,617.26,336.89,66.4,23,Q4,70
Raw Materials,113.58,72.59,91.5,19,Q4,98
Perishables,782.95,399.69,48.7,11,Q2,44
Apparel,821.11,535.54,16.7,6,Q3,8
Raw Materials,895.88,565.05,113.4,9,Q1,74
Perishables,350.37,250.85,71.9,25,Q2,84
Automotive,933.77,555.6,40.4,19,Q4,23
Raw Materials,548.05,265.92,50.6,25,Q3,46
Raw Materials,847.25,437.21,104.3,26,Q1,66
Raw Materials,857.68,487.23,54.1,5,Q1,33
Perishables,633.28,432.36,16.9,3,Q2,9
Apparel,202.73,129.76,104.2,10,Q1,85
Perishables,374.62,251.16,76.9,16,Q2,72
Apparel,482.94,230.93,51.8,4,Q1,35
Apparel,249.47,149.74,17.6,6,Q1,30
Electronics,945.04,575.55,111.1,16,Q3,79
Perishables,932.1,678.01,35.0,23,Q1,8
Perishables,194.24,113.23,88.1,24,Q4,83
Perishables,308.71,201.66,88.2,10,Q3,87
Apparel,309.82,193.35,106.0,20,Q1,73
Raw Materials,846.82,628.1,24.9,4,Q3,20
Perishables,463.69,272.28,77.0,24,Q2,83
Apparel,515.24,267.41,116.4,14,Q3,85
Raw Materials,806.24,557.67,88.4,17,Q4,58
Electronics,402.93,249.79,41.3,25,Q2,36
Apparel,113.59,70.6,57.9,14,Q2,55
Electronics,640.78,426.77,69.3,18,Q4,78
Apparel,596.67,372.39,74.4,14,Q3,58
Automotive,734.66,373.15,33.2,6,Q2,36
Apparel,402.64,227.59,108.1,7,Q4,134
Automotive,495.95,291.71,32.1,15,Q4,20
Automotive,64.13,36.83,75.4,22,Q2,67
Apparel,536.51,250.85,101.1,5,Q4,113
Automotive,228.08,152.32,25.6,14,Q2,24
Electronics,636.71,403.92,17.4,12,Q2,11
Perishables,296.49,211.86,51.6,23,Q3,48
Apparel,920.5,539.05,93.8,7,Q4,91
Perishables,941.36,589.49,41.3,20,Q4,34
Apparel,257.12,140.4,94.2,25,Q1,72
Electronics,526.24,316.29,48.6,27,Q3,42
Raw Materials,561.83,314.88,24.6,23,Q4,21
Electronics,543.87,373.19,98.1,23,Q1,79
Raw Materials,666.11,332.33,25.6,19,Q3,22
Apparel,242.54,153.05,23.5,4,Q1,21
Apparel,377.28,190.97,118.5,9,Q4,131
Raw Materials,382.4,277.22,73.6,14,Q3,59
Perishables,270.85,170.21,27.5,22,Q1,14
Electronics,717.23,391.39,54.4,27,Q1,35
Apparel,916.53,684.06,19.5,15,Q1,6
Apparel,943.6,686.81,88.0,5,Q1,64
Electronics,611.08,351.19,92.4,18,Q3,76
Raw Materials,912.42,668.48,62.8,8,Q4,42
Raw Materials,461.97,297.5,42.9,20,Q1,27
Electronics,276.55,169.81,44.4,19,Q1,37
Apparel,161.2,117.21,114.7,8,Q4,152
Apparel,598.21,373.6,107.0,26,Q3,92
Electronics,382.83,201.04,116.8,27,Q3,99
Electronics,802.88,489.27,29.1,5,Q1,18
Apparel,700.77,366.42,41.0,21,Q2,31
Electronics,157.54,73.06,36.8,15,Q1,35
Raw Materials,284.49,211.48,65.0,4,Q3,68
Perishables,320.08,161.67,73.9,14,Q2,84
Apparel,604.48,325.68,109.8,21,Q4,126
Raw Materials,932.22,529.1,56.2,20,Q3,40
