carrier_name,distance_km,transit_days_expected,traffic_congestion,weather_impact_score,order_priority,is_delayed
Maersk Intermodal,2588.8,5,HIGH,0.3,LOW,1
DHL Express Global,2323.3,4,MEDIUM,0.05,HIGH,0
Maersk Intermodal,2626.8,6,MEDIUM,0.95,LOW,1
DHL Express Global,2844.4,6,LOW,0.76,MEDIUM,1
UPS Supply Chain Solutions,2142.8,4,MEDIUM,0.29,URGENT,1
Maersk Intermodal,885.0,3,LOW,0.3,URGENT,1
FedEx Freight,604.0,3,MEDIUM,0.75,MEDIUM,1
UPS Supply Chain Solutions,548.1,1,MEDIUM,0.14,MEDIUM,0
DHL Express Global,1045.7,3,MEDIUM,0.4,MEDIUM,1
UPS Supply Chain Solutions,1298.9,4,MEDIUM,0.06,LOW,0
Maersk Intermodal,1539.9,3,LOW,0.3,LOW,0
UPS Supply Chain Solutions,1104.4,3,LOW,0.46,MEDIUM,1
FedEx Freight,543.3,2,MEDIUM,0.04,LOW,0
FedEx Freight,1431.2,4,MEDIUM,0.89,MEDIUM,1
Maersk Intermodal,1542.5,3,LOW,0.38,LOW,1
DHL Express Global,1496.0,4,MEDIUM,0.45,URGENT,0
UPS Supply Chain Solutions,1205.4,4,HIGH,0.91,LOW,0
UPS Supply Chain Solutions,1927.6,5,LOW,0.17,URGENT,0
UPS Supply Chain Solutions,2559.3,5,HIGH,0.28,LOW,0
Maersk Intermodal,1319.3,4,LOW,0.75,MEDIUM,0
DHL Express Global,309.5,2,LOW,0.36,HIGH,0
Maersk Intermodal,1519.7,4,HIGH,0.57,LOW,1
FedEx Freight,559.4,2,LOW,0.52,MEDIUM,0
FedEx Freight,3551.6,6,HIGH,0.18,MEDIUM,0
FedEx Freight,2356.3,5,MEDIUM,0.53,HIGH,1
DHL Express Global,2483.2,5,LOW,0.64,MEDIUM,0
FedEx Freight,1189.6,2,MEDIUM,0.94,HIGH,1
FedEx Freight,1912.4,5,HIGH,0.17,LOW,0
Maersk Intermodal,3673.8,8,MEDIUM,0.84,URGENT,1
Maersk Intermodal,2519.9,5,MEDIUM,0.07,LOW,1
UPS Supply Chain Solutions,1316.0,4,MEDIUM,0.33,HIGH,1
Maersk Intermodal,417.0,2,HIGH,0.1,LOW,0
FedEx Freight,1384.9,4,MEDIUM,0.83,MEDIUM,1
FedEx Freight,2739.8,5,HIGH,0.84,LOW,1
DHL Express Global,2614.3,5,LOW,0.62,MEDIUM,0
DHL Express Global,3186.5,7,HIGH,0.16,LOW,1
UPS Supply Chain Solutions,1533.5,4,MEDIUM,0.74,MEDIUM,1
FedEx Freight,1259.9,4,LOW,0.01,LOW,0
FedEx Freight,539.8,1,MEDIUM,0.36,URGENT,0
FedEx Freight,747.5,3,MEDIUM,0.71,HIGH,1
FedEx Freight,525.4,2,LOW,0.4,LOW,0
UPS Supply Chain Solutions,898.3,3,MEDIUM,0.36,HIGH,0
Maersk Intermodal,1153.4,2,MEDIUM,0.7,URGENT,1
Maersk Intermodal,665.3,2,HIGH,0.71,MEDIUM,0
DHL Express Global,3525.0,7,MEDIUM,0.07,URGENT,0
DHL Express Global,1652.6,3,HIGH,0.43,LOW,1
DHL Express Global,3648.0,8,MEDIUM,0.11,HIGH,0
FedEx Freight,996.2,2,HIGH,0.6,URGENT,1
UPS Supply Chain Solutions,976.1,3,LOW,0.13,MEDIUM,1
Maersk Intermodal,3038.4,6,HIGH,0.32,LOW,1
UPS Supply Chain Solutions,3640.4,8,LOW,0.52,MEDIUM,1
DHL Express Global,984.5,3,HIGH,0.27,LOW,1
Maersk Intermodal,1557.1,4,LOW,0.74,LOW,1
DHL Express Global,2771.8,5,MEDIUM,0.52,HIGH,1
FedEx Freight,1784.9,4,MEDIUM,0.95,MEDIUM,1
UPS Supply Chain Solutions,1451.2,3,MEDIUM,0.07,MEDIUM,0
DHL Express Global,3668.2,8,LOW,0.3,HIGH,1
UPS Supply Chain Solutions,3685.2,8,MEDIUM,0.32,MEDIUM,1
Maersk Intermodal,3450.8,7,MEDIUM,0.53,URGENT,1
Maersk Intermodal,1052.5,3,MEDIUM,0.91,MEDIUM,1
FedEx Freight,3595.7,7,MEDIUM,0.55,MEDIUM,1
DHL Express Global,1202.1,4,LOW,0.48,MEDIUM,1
UPS Supply Chain Solutions,557.5,1,MEDIUM,0.77,LOW,1
UPS Supply Chain Solutions,2875.8,6,LOW,0.34,URGENT,1
FedEx Freight,758.1,3,LOW,0.75,URGENT,1
DHL Express Global,2911.9,6,MEDIUM,0.51,LOW,1
FedEx Freight,2988.7,6,LOW,0.85,LOW,0
Maersk Intermodal,2707.9,6,MEDIUM,0.64,LOW,0
DHL Express Global,2566.1,6,MEDIUM,0.77,URGENT,0
Maersk Intermodal,1149.5,2,LOW,0.64,LOW,0
Maersk Intermodal,2840.2,5,HIGH,0.88,HIGH,1
UPS Supply Chain Solutions,2963.1,6,LOW,0.48,LOW,1
DHL Express Global,948.2,3,MEDIUM,0.46,URGENT,1
UPS Supply Chain Solutions,1696.9,3,LOW,0.91,LOW,0
DHL Express Global,482.9,2,MEDIUM,0.09,HIGH,1
DHL Express Global,370.0,1,MEDIUM,0.58,URGENT,1
FedEx Freight,2792.1,6,HIGH,0.65,HIGH,1
DHL Express Global,3047.1,7,HIGH,0.47,LOW,1
FedEx Freight,1366.8,3,MEDIUM,0.99,HIGH,1
UPS Supply Chain Solutions,3199.0,7,LOW,0.29,LOW,0
UPS Supply Chain Solutions,377.5,2,MEDIUM,0.35,URGENT,0
DHL Express Global,2674.8,6,HIGH,0.98,HIGH,1
